# Medidas que faltan — 84 cajas
#
# Estas cajas tienen la gráfica máxima, el disipador y los radiadores REALES,
# pero sus dimensiones son una estimación por tipo de torre. Solo hace falta
# el dato de la caja montada, en milímetros:
#
#     largo (fondo) × ancho × alto
#
# Rellena después de la última barra y guarda. Ejemplo:
#
#     Corsair|4000D Airflow|453×230×466
#
# El volumen en litros se calcula solo, no hace falta.
# Si alguna no la encuentras, déjala vacía y se queda como está.
#
# marca|modelo|largo×ancho×alto

Thermaltake|The Tower 300|551 x 342 x 281 mm (alto, ancho, profundo)
Thermaltake|The Tower 600|420 mm x 286,4 mm x 550 mm
Thermaltake|TR100|(AL x AN x PR)462.8 x 266 x 266 mm (18.2 x 10.5 x 10.5 pulgadas)
Thermaltake|View 380 WS ARGB|288 mm (ancho) × 471 mm (alto) × 473 mm (profundidad) 
Thermaltake|View 380 XL TG ARGB| 288 mm x 469 mm x 471 mm
Thermaltake|View 390 Air|503 x 287 x 485mm (19.80 x 11.30 x 19.1inch)
Thermaltake|View 390 TG| (AL x AN x PR), 503 x 287 x 485mm (19.80 x 11.30 x 19.1inch)

UNYKAch|AERO C12 V2|DIMENSIONES 372 (L) x 178 (W) x 353 (H) mm

Zalman|I3 Neo V2|Dimensiones	484 mm (alto) x 213 mm (ancho aprox.) x 476 mm (profundo)
